date invoice,aliac,upc,name,barcode,Ordered QTY,Size US/UK,eu size,rrp,Season,gender,color,Category,cost,silling price,customer price,Brand
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277345,1,12.5,46.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277246,1,7.5,40.5,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277253,1,8.0,41.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277260,2,8.5,42.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277277,2,9.0,42.5,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277284,3,9.5,43.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885892,2,10.5,44.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885908,1,11.0,44.5,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885915,1,11.5,45.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885939,1,12.5,46.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885830,1,7.5,40.5,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885847,1,8.0,41.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885854,2,8.5,42.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885861,2,9.0,42.5,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216372BBK,216372BBK,Slip-Ins - Two Tone Engineered Mesh Stretch Fit,198376885878,3,9.5,43.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Skechers
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741865,2,10.5,44.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741872,1,11.0,44.5,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
